Cycle ID,Cap_Chg(mAh),Cap_DChg(mAh),Specific Capacity-Chg(mAh/g),Specific Capacity-Dchg(mAh/g),Chg/DChg Efficiency(%),Engy_Chg(mWh),Engy_DChg(mWh),REngy_Chg(mWh/g),REngy_Dchg(mWh/g),CC_Chg_Ratio(%),CC_Chg_Cap(mAh),Plat_Cap(mAh),Plat_Capacity Density(mAh/g),Plat_Cap_Efficiency(%),Plat_Time(sec),Capacity_Chg(F),Capacity_DChg(F),IR(O),Mid_value Voltage(V),Discharge Fading Ratio(%),Charge Time(sec),Discharge Time(sec),Charge IR(O),Discharge IR(O),End Temperature(°C),Net Cap_DChg(mAh),Net Engy_DChg(mWh),Energy Efficiency(%),
,Step ID,Step Name,Step Time(sec),Capacity(mAh),Capacity Density(mAh/g),Energy(mWh),CmpEngergy(mWh/g),Capacitance(F),Start Voltage(V),End Voltage(V),Start Temperature(°C),End Temperature(°C),End Capacity(mAh),Charge Mid-Vol(V),Discharge Mid-Vol(V),DCIR(O),ChargeCap(mAh),DischargeCap(mAh),Engy_Chg(mWh),Engy_DChg(mWh),Net DischargeCap(mAh),Net Engy_DChg(mWh),Raw Step ID,
,,Record ID,Time(sec),Voltage(V),Current(mA),Temperature(°C),Capacity(mAh),Capacity Density(mAh/g),Energy(mWh),CmpEng(mWh/g),Realtime,Min-T(°C),Max-T(°C),Avg-T(°C),Power(mW),Capacitance_Chg(mAh),Capacitance_DChg(mAh),Engy_Chg(mWh),Engy_DChg(mWh),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact IR(O),
,,1037,20.90,1.0456,0.126,0.0,0.0007,0.5808,0.0004,0.3347,05/03/2022 13:12:15,,,,0.13,0.0007,0.0000,0.0004,0.0000,0.0009,0.7111,8295.121,
,,1038,23.60,1.1467,0.126,0.0,0.0008,0.6558,0.0005,0.4171,05/03/2022 13:12:18,,,,0.14,0.0008,0.0000,0.0005,0.0000,0.0009,0.7421,9097.184,
,,1039,26.20,1.2468,0.126,0.0,0.0009,0.7281,0.0006,0.5037,05/03/2022 13:12:21,,,,0.16,0.0009,0.0000,0.0006,0.0000,0.0009,0.7218,9891.313,
,,1040,28.90,1.3504,0.126,0.0,0.0010,0.8031,0.0008,0.6013,05/03/2022 13:12:23,,,,0.17,0.0010,0.0000,0.0008,0.0000,0.0009,0.7242,10713.209,
,,1041,31.70,1.4508,0.126,0.0,0.0011,0.8809,0.0009,0.7104,05/03/2022 13:12:26,,,,0.18,0.0011,0.0000,0.0009,0.0000,0.0010,0.7750,11509.718,
,,1042,34.80,1.5513,0.126,0.0,0.0012,0.9670,0.0011,0.8399,05/03/2022 13:12:29,,,,0.20,0.0012,0.0000,0.0011,0.0000,0.0011,0.8572,12307.021,
,,1043,38.20,1.6520,0.126,0.0,0.0013,1.0615,0.0012,0.9915,05/03/2022 13:12:33,,,,0.21,0.0013,0.0000,0.0012,0.0000,0.0012,0.9383,13105.910,
,,1044,42.00,1.7528,0.126,0.0,0.0015,1.1671,0.0015,1.1716,05/03/2022 13:12:36,,,,0.22,0.0015,0.0000,0.0015,0.0000,0.0013,1.0476,13905.593,
,,1045,46.30,1.8542,0.126,0.0,0.0016,1.2866,0.0017,1.3873,05/03/2022 13:12:41,,,,0.23,0.0016,0.0000,0.0017,0.0000,0.0015,1.1784,14710.036,
,,1046,51.10,1.9546,0.126,0.0,0.0018,1.4200,0.0021,1.6416,05/03/2022 13:12:46,,,,0.25,0.0018,0.0000,0.0021,0.0000,0.0017,1.3285,15506.545,
,,1047,56.70,2.0557,0.126,0.0,0.0020,1.5756,0.0025,1.9540,05/03/2022 13:12:51,,,,0.26,0.0020,0.0000,0.0025,0.0000,0.0019,1.5392,16308.608,
,,1048,63.50,2.1561,0.126,0.0,0.0022,1.7646,0.0030,2.3525,05/03/2022 13:12:58,,,,0.27,0.0022,0.0000,0.0030,0.0000,0.0024,1.8821,17105.117,
,,1049,72.40,2.2572,0.126,0.0,0.0025,2.0119,0.0037,2.8990,05/03/2022 13:13:07,,,,0.28,0.0025,0.0000,0.0037,0.0000,0.0031,2.4463,17907.180,
,,1050,87.30,2.3573,0.126,0.0,0.0031,2.4260,0.0049,3.8573,05/03/2022 13:13:22,,,,0.30,0.0031,0.0000,0.0049,0.0000,0.0052,4.1364,18701.309,
,,1051,100.80,2.4001,0.126,0.0,0.0035,2.8011,0.0060,4.7505,05/03/2022 13:13:35,,,,0.30,0.0035,0.0000,0.0060,0.0000,0.0110,8.7651,19040.857,
,48,CC_DChg,78.80,0.0028,2.1887,0.0025,1.9815,0.00199,2.3741,0.0096,0.0,0.0,0.0028,0.0000,0.7310,103.158,0.0000,0.0028,0.0000,0.0025,0.0028,0.0025,8,
,,1052,0.00,2.3741,-0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 13:13:35,,,,-0.30,0.0000,0.0000,0.0000,0.0000,0.1357,107.7348,18843.559,
,,1053,1.30,2.2718,-0.126,0.0,0.0000,0.0361,0.0001,0.0838,05/03/2022 13:13:37,,,,-0.29,0.0000,0.0000,0.0000,0.0001,-0.0004,-0.3529,18031.590,
,,1054,3.00,2.1661,-0.126,0.0,0.0001,0.0833,0.0002,0.1883,05/03/2022 13:13:38,,,,-0.27,0.0000,0.0001,0.0000,0.0002,-0.0006,-0.4467,17192.634,
,,1055,4.90,2.0638,-0.126,0.0,0.0002,0.1361,0.0004,0.2997,05/03/2022 13:13:40,,,,-0.26,0.0000,0.0002,0.0000,0.0004,-0.0006,-0.5159,16380.665,
,,1056,7.00,1.9602,-0.126,0.0,0.0002,0.1944,0.0005,0.4168,05/03/2022 13:13:42,,,,-0.25,0.0000,0.0002,0.0000,0.0005,-0.0007,-0.5630,15558.378,
,,1057,9.30,1.8557,-0.126,0.0,0.0003,0.2583,0.0007,0.5386,05/03/2022 13:13:45,,,,-0.23,0.0000,0.0003,0.0000,0.0007,-0.0008,-0.6113,14728.947,
,,1058,11.70,1.7525,-0.126,0.0,0.0004,0.3250,0.0008,0.6587,05/03/2022 13:13:47,,,,-0.22,0.0000,0.0004,0.0000,0.0008,-0.0008,-0.6459,13909.834,
,,1059,14.20,1.6493,-0.126,0.0,0.0005,0.3944,0.0010,0.7766,05/03/2022 13:13:49,,,,-0.21,0.0000,0.0005,0.0000,0.0010,-0.0008,-0.6729,13090.721,
,,1060,16.80,1.5473,-0.126,0.0,0.0006,0.4666,0.0011,0.8919,05/03/2022 13:13:52,,,,-0.19,0.0000,0.0006,0.0000,0.0011,-0.0009,-0.7080,12281.133,
,,1061,19.50,1.4437,-0.126,0.0,0.0007,0.5416,0.0013,1.0039,05/03/2022 13:13:55,,,,-0.18,0.0000,0.0007,0.0000,0.0013,-0.0009,-0.7239,11458.846,
,,1062,22.30,1.3405,-0.126,0.0,0.0008,0.6194,0.0014,1.1120,05/03/2022 13:13:58,,,,-0.17,0.0000,0.0008,0.0000,0.0014,-0.0009,-0.7536,10639.733,
,,1063,25.10,1.2385,-0.126,0.0,0.0009,0.6972,0.0015,1.2121,05/03/2022 13:14:00,,,,-0.16,0.0000,0.0009,0.0000,0.0015,-0.0010,-0.7625,9830.145,
,,1064,28.00,1.1365,-0.126,0.0,0.0010,0.7777,0.0016,1.3076,05/03/2022 13:14:03,,,,-0.14,0.0000,0.0010,0.0000,0.0016,-0.0010,-0.7897,9020.557,
,,1065,30.90,1.0357,-0.126,0.0,0.0011,0.8583,0.0018,1.3949,05/03/2022 13:14:06,,,,-0.13,0.0000,0.0011,0.0000,0.0018,-0.0010,-0.7991,8220.494,
,,1066,33.90,0.9356,-0.126,0.0,0.0012,0.9416,0.0019,1.4769,05/03/2022 13:14:09,,,,-0.12,0.0000,0.0012,0.0000,0.0019,-0.0010,-0.8324,7425.986,
,,1067,37.10,0.8330,-0.126,0.0,0.0013,1.0305,0.0020,1.5553,05/03/2022 13:14:12,,,,-0.10,0.0000,0.0013,0.0000,0.0020,-0.0011,-0.8663,6611.636,
,,1068,40.60,0.7310,-0.126,0.0,0.0014,1.1277,0.0021,1.6311,05/03/2022 13:14:16,,,,-0.09,0.0000,0.0014,0.0000,0.0021,-0.0012,-0.9531,5802.048,
,,1069,44.70,0.6290,-0.126,0.0,0.0016,1.2416,0.0022,1.7082,05/03/2022 13:14:20,,,,-0.08,0.0000,0.0016,0.0000,0.0022,-0.0014,-1.1165,4992.460,
,,1070,49.10,0.5276,-0.126,0.0,0.0017,1.3638,0.0022,1.7787,05/03/2022 13:14:24,,,,-0.07,0.0000,0.0017,0.0000,0.0022,-0.0015,-1.2053,4187.634,
,,1071,53.90,0.4262,-0.126,0.0,0.0019,1.4971,0.0023,1.8421,05/03/2022 13:14:29,,,,-0.05,0.0000,0.0019,0.0000,0.0023,-0.0017,-1.3148,3382.808,
,,1072,59.00,0.3249,-0.126,0.0,0.0021,1.6388,0.0024,1.8950,05/03/2022 13:14:34,,,,-0.04,0.0000,0.0021,0.0000,0.0024,-0.0018,-1.3984,2578.776,
,,1073,64.60,0.2241,-0.126,0.0,0.0023,1.7943,0.0024,1.9375,05/03/2022 13:14:40,,,,-0.03,0.0000,0.0023,0.0000,0.0024,-0.0019,-1.5431,1778.713,
,,1074,70.80,0.1236,-0.126,0.0,0.0025,1.9665,0.0025,1.9671,05/03/2022 13:14:46,,,,-0.02,0.0000,0.0025,0.0000,0.0025,-0.0022,-1.7135,981.030,
,,1075,77.80,0.0229,-0.126,0.0,0.0027,2.1609,0.0025,1.9810,05/03/2022 13:14:53,,,,-0.00,0.0000,0.0027,0.0000,0.0025,-0.0024,-1.9308,181.760,
,,1076,78.80,0.0096,-0.126,0.0,0.0028,2.1887,0.0025,1.9815,05/03/2022 13:14:54,,,,-0.00,0.0000,0.0028,0.0000,0.0025,-0.0026,-2.0884,76.197,
25,0.0034,0.0027,2.7205,2.1609,79.431,0.0058,0.0025,4.5779,1.9546,100.00,0.0034,0.0000,0.0000,0.00,0.00,0.01554,0.00194,0.000,0.7397,129.45,97.90,77.80,76.178,90.859,0.0,-0.0007,-0.0033,42.695,
,49,CC_Chg,97.90,0.0034,2.7205,0.0058,4.5779,0.01554,0.0288,2.4001,0.0,0.0,0.0034,1.9658,0.0000,76.178,0.0034,0.0000,0.0000,0.0000,-0.0034,-0.0577,7,
,,1077,0.00,0.0288,0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 13:14:54,,,,0.00,0.0000,0.0000,0.0000,0.0000,-0.1436,-113.9951,228.481,
,,1078,1.70,0.1348,0.126,0.0,0.0001,0.0472,0.0000,0.0038,05/03/2022 13:14:56,,,,0.02,0.0001,0.0000,0.0000,0.0000,0.0006,0.4457,1069.417,
,,1079,3.50,0.2390,0.126,0.0,0.0001,0.0973,0.0000,0.0133,05/03/2022 13:14:58,,,,0.03,0.0001,0.0000,0.0000,0.0000,0.0006,0.4800,1896.073,
,,1080,5.40,0.3394,0.126,0.0,0.0002,0.1501,0.0000,0.0288,05/03/2022 13:14:59,,,,0.04,0.0002,0.0000,0.0000,0.0000,0.0007,0.5259,2692.582,
,,1081,7.40,0.4408,0.126,0.0,0.0003,0.2056,0.0001,0.0506,05/03/2022 13:15:01,,,,0.06,0.0003,0.0000,0.0001,0.0000,0.0007,0.5481,3497.025,
,,1082,9.50,0.5443,0.126,0.0,0.0003,0.2640,0.0001,0.0795,05/03/2022 13:15:04,,,,0.07,0.0003,0.0000,0.0001,0.0000,0.0007,0.5638,4318.128,
,,1083,11.60,0.6460,0.126,0.0,0.0004,0.3223,0.0001,0.1144,05/03/2022 13:15:06,,,,0.08,0.0004,0.0000,0.0001,0.0000,0.0007,0.5738,5124.950,
,,1084,13.80,0.7502,0.126,0.0,0.0005,0.3835,0.0002,0.1572,05/03/2022 13:15:08,,,,0.09,0.0005,0.0000,0.0002,0.0000,0.0007,0.5867,5951.607,
,,1085,16.00,0.8506,0.126,0.0,0.0006,0.4446,0.0003,0.2063,05/03/2022 13:15:10,,,,0.11,0.0006,0.0000,0.0003,0.0000,0.0008,0.6089,6748.116,
,,1086,18.40,0.9536,0.126,0.0,0.0006,0.5113,0.0003,0.2667,05/03/2022 13:15:12,,,,0.12,0.0006,0.0000,0.0003,0.0000,0.0008,0.6475,7565.252,
,,1087,21.00,1.0540,0.126,0.0,0.0007,0.5836,0.0004,0.3394,05/03/2022 13:15:15,,,,0.13,0.0007,0.0000,0.0004,0.0000,0.0009,0.7196,8361.761,
,,1088,23.70,1.1560,0.126,0.0,0.0008,0.6586,0.0005,0.4224,05/03/2022 13:15:18,,,,0.15,0.0008,0.0000,0.0005,0.0000,0.0009,0.7356,9170.964,
,,1089,26.30,1.2580,0.126,0.0,0.0009,0.7308,0.0006,0.5097,05/03/2022 13:15:20,,,,0.16,0.0009,0.0000,0.0006,0.0000,0.0009,0.7083,9980.167,
,,1090,29.00,1.3606,0.126,0.0,0.0010,0.8059,0.0008,0.6082,05/03/2022 13:15:23,,,,0.17,0.0010,0.0000,0.0008,0.0000,0.0009,0.7313,10794.129,
,,1091,31.80,1.4611,0.126,0.0,0.0011,0.8837,0.0009,0.7181,05/03/2022 13:15:26,,,,0.18,0.0011,0.0000,0.0009,0.0000,0.0010,0.7742,11591.432,
,,1092,34.90,1.5621,0.126,0.0,0.0012,0.9698,0.0011,0.8486,05/03/2022 13:15:29,,,,0.20,0.0012,0.0000,0.0011,0.0000,0.0011,0.8529,12392.701,
,,1093,38.30,1.6635,0.126,0.0,0.0013,1.0643,0.0013,1.0012,05/03/2022 13:15:32,,,,0.21,0.0013,0.0000,0.0013,0.0000,0.0012,0.9318,13197.144,
,,1094,42.10,1.7643,0.126,0.0,0.0015,1.1699,0.0015,1.1824,05/03/2022 13:15:36,,,,0.22,0.0015,0.0000,0.0015,0.0000,0.0013,1.0476,13996.827,
,,1095,46.40,1.8656,0.126,0.0,0.0016,1.2894,0.0018,1.3995,05/03/2022 13:15:40,,,,0.24,0.0016,0.0000,0.0018,0.0000,0.0015,1.1796,14800.476,
,,1096,51.20,1.9658,0.126,0.0,0.0018,1.4228,0.0021,1.6553,05/03/2022 13:15:45,,,,0.25,0.0018,0.0000,0.0021,0.0000,0.0017,1.3312,15595.399,
,,1097,56.70,2.0659,0.126,0.0,0.0020,1.5756,0.0025,1.9638,05/03/2022 13:15:51,,,,0.26,0.0020,0.0000,0.0025,0.0000,0.0019,1.5269,16389.528,
,,1098,63.50,2.1664,0.126,0.0,0.0022,1.7646,0.0030,2.3641,05/03/2022 13:15:58,,,,0.27,0.0022,0.0000,0.0030,0.0000,0.0024,1.8802,17186.831,
,,1099,72.30,2.2668,0.126,0.0,0.0025,2.0091,0.0037,2.9070,05/03/2022 13:16:06,,,,0.29,0.0025,0.0000,0.0037,0.0000,0.0031,2.4357,17983.340,
,,1100,87.50,2.3670,0.126,0.0,0.0031,2.4315,0.0049,3.8887,05/03/2022 13:16:22,,,,0.30,0.0031,0.0000,0.0049,0.0000,0.0053,4.2155,18778.263,
,,1101,97.90,2.4001,0.126,0.0,0.0034,2.7205,0.0058,4.5779,05/03/2022 13:16:32,,,,0.30,0.0034,0.0000,0.0058,0.0000,0.0110,8.7312,19040.857,
,50,CC_DChg,77.80,0.0027,2.1609,0.0025,1.9546,0.00194,2.3772,0.0096,0.0,0.0,0.0027,0.0000,0.7397,90.859,0.0000,0.0027,0.0000,0.0025,0.0027,0.0025,8,
,,1102,0.00,2.3772,-0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 13:16:32,,,,-0.30,0.0000,0.0000,0.0000,0.0000,0.1497,118.7999,18868.164,
,,1103,1.30,2.2712,-0.126,0.0,0.0000,0.0361,0.0001,0.0838,05/03/2022 13:16:33,,,,-0.29,0.0000,0.0000,0.0000,0.0001,-0.0004,-0.3406,18026.828,
,,1104,2.90,2.1704,-0.126,0.0,0.0001,0.0805,0.0002,0.1822,05/03/2022 13:16:35,,,,-0.27,0.0000,0.0001,0.0000,0.0002,-0.0006,-0.4409,17226.764,
,,1105,4.80,2.0662,-0.126,0.0,0.0002,0.1333,0.0004,0.2938,05/03/2022 13:16:37,,,,-0.26,0.0000,0.0002,0.0000,0.0004,-0.0006,-0.5064,16399.714,
,,1106,6.90,1.9618,-0.126,0.0,0.0002,0.1916,0.0005,0.4111,05/03/2022 13:16:39,,,,-0.25,0.0000,0.0002,0.0000,0.0005,-0.0007,-0.5587,15571.077,
,,1107,9.10,1.8604,-0.126,0.0,0.0003,0.2528,0.0007,0.5277,05/03/2022 13:16:41,,,,-0.23,0.0000,0.0003,0.0000,0.0007,-0.0008,-0.6026,14766.251,
,,1108,11.40,1.7590,-0.126,0.0,0.0004,0.3166,0.0008,0.6432,05/03/2022 13:16:43,,,,-0.22,0.0000,0.0004,0.0000,0.0008,-0.0008,-0.6300,13961.426,
,,1109,13.80,1.6586,-0.126,0.0,0.0005,0.3833,0.0010,0.7569,05/03/2022 13:16:46,,,,-0.21,0.0000,0.0005,0.0000,0.0010,-0.0008,-0.6639,13164.537,
,,1110,16.40,1.5547,-0.126,0.0,0.0006,0.4555,0.0011,0.8728,05/03/2022 13:16:48,,,,-0.20,0.0000,0.0006,0.0000,0.0011,-0.0009,-0.6950,12339.868,
,,1111,19.00,1.4533,-0.126,0.0,0.0007,0.5277,0.0012,0.9812,05/03/2022 13:16:51,,,,-0.18,0.0000,0.0007,0.0000,0.0012,-0.0009,-0.7122,11535.042,
,,1112,21.70,1.3504,-0.126,0.0,0.0008,0.6027,0.0014,1.0862,05/03/2022 13:16:54,,,,-0.17,0.0000,0.0008,0.0000,0.0014,-0.0009,-0.7288,10718.311,
,,1113,24.50,1.2478,-0.126,0.0,0.0009,0.6805,0.0015,1.1871,05/03/2022 13:16:56,,,,-0.16,0.0000,0.0009,0.0000,0.0015,-0.0010,-0.7580,9903.961,
,,1114,27.30,1.1464,-0.126,0.0,0.0010,0.7583,0.0016,1.2800,05/03/2022 13:16:59,,,,-0.14,0.0000,0.0010,0.0000,0.0016,-0.0010,-0.7670,9099.135,
,,1115,30.20,1.0453,-0.126,0.0,0.0011,0.8388,0.0017,1.3681,05/03/2022 13:17:02,,,,-0.13,0.0000,0.0011,0.0000,0.0017,-0.0010,-0.7967,8296.690,
,,1116,33.20,0.9427,-0.126,0.0,0.0012,0.9221,0.0018,1.4508,05/03/2022 13:17:05,,,,-0.12,0.0000,0.0012,0.0000,0.0018,-0.0010,-0.8121,7482.340,
,,1117,36.30,0.8420,-0.126,0.0,0.0013,1.0082,0.0019,1.5275,05/03/2022 13:17:08,,,,-0.11,0.0000,0.0013,0.0000,0.0019,-0.0011,-0.8551,6683.070,
,,1118,39.70,0.7397,-0.126,0.0,0.0014,1.1027,0.0020,1.6019,05/03/2022 13:17:12,,,,-0.09,0.0000,0.0014,0.0000,0.0020,-0.0012,-0.9231,5871.101,
,,1119,43.60,0.6395,-0.126,0.0,0.0015,1.2110,0.0021,1.6764,05/03/2022 13:17:16,,,,-0.08,0.0000,0.0015,0.0000,0.0021,-0.0014,-1.0811,5075.800,
,,1120,47.90,0.5391,-0.126,0.0,0.0017,1.3304,0.0022,1.7466,05/03/2022 13:17:20,,,,-0.07,0.0000,0.0017,0.0000,0.0022,-0.0015,-1.1896,4278.911,
,,1121,52.60,0.4377,-0.126,0.0,0.0018,1.4610,0.0023,1.8101,05/03/2022 13:17:25,,,,-0.06,0.0000,0.0018,0.0000,0.0023,-0.0016,-1.2874,3474.085,
,,1122,57.60,0.3369,-0.126,0.0,0.0020,1.5999,0.0023,1.8636,05/03/2022 13:17:30,,,,-0.04,0.0000,0.0020,0.0000,0.0023,-0.0017,-1.3777,2674.022,
,,1123,63.10,0.2356,-0.126,0.0,0.0022,1.7526,0.0024,1.9070,05/03/2022 13:17:35,,,,-0.03,0.0000,0.0022,0.0000,0.0024,-0.0019,-1.5081,1869.990,
,,1124,69.10,0.1354,-0.126,0.0,0.0024,1.9193,0.0024,1.9376,05/03/2022 13:17:41,,,,-0.02,0.0000,0.0024,0.0000,0.0024,-0.0021,-1.6632,1074.688,
,,1125,75.90,0.0353,-0.126,0.0,0.0027,2.1082,0.0025,1.9534,05/03/2022 13:17:48,,,,-0.00,0.0000,0.0027,0.0000,0.0025,-0.0024,-1.8868,280.181,
,,1126,77.80,0.0096,-0.126,0.0,0.0027,2.1609,0.0025,1.9546,05/03/2022 13:17:50,,,,-0.00,0.0000,0.0027,0.0000,0.0025,-0.0026,-2.0534,76.197,
26,0.0033,0.0027,2.6566,2.1359,80.401,0.0056,0.0024,4.4410,1.9308,100.00,0.0033,0.0000,0.0000,0.00,0.00,0.01477,0.00193,0.000,0.7486,127.95,95.60,76.90,71.037,100.778,0.0,-0.0007,-0.0032,43.476,
,51,CC_Chg,95.60,0.0033,2.6566,0.0056,4.4410,0.01477,0.0275,2.4001,0.0,0.0,0.0033,1.8594,0.0000,71.037,0.0033,0.0000,0.0000,0.0000,-0.0033,-0.0560,7,
,,1127,0.00,0.0275,0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 13:17:50,,,,0.00,0.0000,0.0000,0.0000,0.0000,-0.1521,-120.7221,218.271,
,,1128,1.60,0.1280,0.126,0.0,0.0001,0.0445,0.0000,0.0034,05/03/2022 13:17:51,,,,0.02,0.0001,0.0000,0.0000,0.0000,0.0006,0.4424,1015.470,
,,1129,3.30,0.2291,0.126,0.0,0.0001,0.0917,0.0000,0.0121,05/03/2022 13:17:53,,,,0.03,0.0001,0.0000,0.0000,0.0000,0.0006,0.4673,1817.533,
,,1130,5.20,0.3304,0.126,0.0,0.0002,0.1445,0.0000,0.0270,05/03/2022 13:17:55,,,,0.04,0.0002,0.0000,0.0000,0.0000,0.0007,0.5212,2621.182,
,,1131,7.20,0.4327,0.126,0.0,0.0003,0.2001,0.0001,0.0483,05/03/2022 13:17:57,,,,0.05,0.0003,0.0000,0.0001,0.0000,0.0007,0.5433,3432.765,
,,1132,9.30,0.5372,0.126,0.0,0.0003,0.2584,0.0001,0.0767,05/03/2022 13:17:59,,,,0.07,0.0003,0.0000,0.0001,0.0000,0.0007,0.5584,4261.801,
,,1133,11.40,0.6395,0.126,0.0,0.0004,0.3168,0.0001,0.1112,05/03/2022 13:18:01,,,,0.08,0.0004,0.0000,0.0001,0.0000,0.0007,0.5704,5073.384,
,,1134,13.60,0.7431,0.126,0.0,0.0005,0.3779,0.0002,0.1536,05/03/2022 13:18:03,,,,0.09,0.0005,0.0000,0.0002,0.0000,0.0007,0.5901,5895.280,
,,1135,15.80,0.8448,0.126,0.0,0.0006,0.4391,0.0003,0.2024,05/03/2022 13:18:06,,,,0.11,0.0006,0.0000,0.0003,0.0000,0.0008,0.6011,6702.102,
,,1136,18.20,0.9486,0.126,0.0,0.0006,0.5058,0.0003,0.2624,05/03/2022 13:18:08,,,,0.12,0.0006,0.0000,0.0003,0.0000,0.0008,0.6425,7525.585,
,,1137,20.80,1.0509,0.126,0.0,0.0007,0.5780,0.0004,0.3348,05/03/2022 13:18:11,,,,0.13,0.0007,0.0000,0.0004,0.0000,0.0009,0.7063,8337.168,
,,1138,23.50,1.1523,0.126,0.0,0.0008,0.6530,0.0005,0.4176,05/03/2022 13:18:13,,,,0.15,0.0008,0.0000,0.0005,0.0000,0.0009,0.7399,9141.610,
,,1139,26.10,1.2549,0.126,0.0,0.0009,0.7253,0.0006,0.5047,05/03/2022 13:18:16,,,,0.16,0.0009,0.0000,0.0006,0.0000,0.0009,0.7042,9955.573,
,,1140,28.70,1.3554,0.126,0.0,0.0010,0.7975,0.0008,0.5991,05/03/2022 13:18:19,,,,0.17,0.0010,0.0000,0.0008,0.0000,0.0009,0.7189,10752.876,
,,1141,31.50,1.4561,0.126,0.0,0.0011,0.8753,0.0009,0.7087,05/03/2022 13:18:21,,,,0.18,0.0011,0.0000,0.0009,0.0000,0.0010,0.7727,11551.765,
,,1142,34.50,1.5562,0.126,0.0,0.0012,0.9587,0.0011,0.8345,05/03/2022 13:18:24,,,,0.20,0.0012,0.0000,0.0011,0.0000,0.0010,0.8328,12345.894,
,,1143,37.90,1.6582,0.126,0.0,0.0013,1.0532,0.0012,0.9866,05/03/2022 13:18:28,,,,0.21,0.0013,0.0000,0.0012,0.0000,0.0012,0.9263,13155.097,
,,1144,41.60,1.7584,0.126,0.0,0.0015,1.1560,0.0015,1.1625,05/03/2022 13:18:31,,,,0.22,0.0015,0.0000,0.0015,0.0000,0.0013,1.0261,13950.020,
,,1145,45.80,1.8594,0.126,0.0,0.0016,1.2727,0.0017,1.3739,05/03/2022 13:18:36,,,,0.23,0.0016,0.0000,0.0017,0.0000,0.0015,1.1556,14751.289,
,,1146,50.50,1.9605,0.126,0.0,0.0018,1.4033,0.0020,1.6236,05/03/2022 13:18:40,,,,0.25,0.0018,0.0000,0.0020,0.0000,0.0016,1.2919,15553.352,
,,1147,56.00,2.0622,0.126,0.0,0.0020,1.5562,0.0024,1.9314,05/03/2022 13:18:46,,,,0.26,0.0020,0.0000,0.0024,0.0000,0.0019,1.5028,16360.175,
,,1148,62.60,2.1626,0.126,0.0,0.0022,1.7396,0.0029,2.3193,05/03/2022 13:18:52,,,,0.27,0.0022,0.0000,0.0029,0.0000,0.0023,1.8267,17156.684,
,,1149,71.00,2.2628,0.126,0.0,0.0025,1.9730,0.0036,2.8366,05/03/2022 13:19:01,,,,0.29,0.0025,0.0000,0.0036,0.0000,0.0029,2.3296,17951.607,
,,1150,85.00,2.3629,0.126,0.0,0.0030,2.3620,0.0047,3.7390,05/03/2022 13:19:15,,,,0.30,0.0030,0.0000,0.0047,0.0000,0.0049,3.8865,18745.736,
,,1151,95.60,2.4001,0.126,0.0,0.0033,2.6566,0.0056,4.4410,05/03/2022 13:19:25,,,,0.30,0.0033,0.0000,0.0056,0.0000,0.0100,7.9183,19040.857,
,52,CC_DChg,76.90,0.0027,2.1359,0.0024,1.9308,0.00193,2.3747,0.0099,0.0,0.0,0.0027,0.0000,0.7486,100.778,0.0000,0.0027,0.0000,0.0024,0.0027,0.0024,8,
,,1152,0.00,2.3747,-0.126,0.0,0.0000,0.0000,0.0000,0.0000,05/03/2022 13:19:26,,,,-0.30,0.0000,0.0000,0.0000,0.0000,0.1318,104.5907,18848.321,
,,1153,1.30,2.2712,-0.126,0.0,0.0000,0.0361,0.0001,0.0837,05/03/2022 13:19:27,,,,-0.29,0.0000,0.0000,0.0000,0.0001,-0.0004,-0.3489,18026.828,
,,1154,2.90,2.1695,-0.126,0.0,0.0001,0.0805,0.0002,0.1821,05/03/2022 13:19:28,,,,-0.27,0.0000,0.0001,0.0000,0.0002,-0.0006,-0.4370,17219.621,
,,1155,4.70,2.0681,-0.126,0.0,0.0002,0.1305,0.0004,0.2879,05/03/2022 13:19:30,,,,-0.26,0.0000,0.0002,0.0000,0.0004,-0.0006,-0.4931,16414.795,
,,1156,6.70,1.9673,-0.126,0.0,0.0002,0.1861,0.0005,0.3999,05/03/2022 13:19:32,,,,-0.25,0.0000,0.0002,0.0000,0.0005,-0.0007,-0.5511,15614.731,
,,1157,8.90,1.8650,-0.126,0.0,0.0003,0.2472,0.0007,0.5168,05/03/2022 13:19:34,,,,-0.23,0.0000,0.0003,0.0000,0.0007,-0.0008,-0.5973,14802.762,
,,1158,11.20,1.7627,-0.126,0.0,0.0004,0.3111,0.0008,0.6325,05/03/2022 13:19:37,,,,-0.22,0.0000,0.0004,0.0000,0.0008,-0.0008,-0.6245,13990.793,
,,1159,13.60,1.6604,-0.126,0.0,0.0005,0.3777,0.0009,0.7464,05/03/2022 13:19:39,,,,-0.21,0.0000,0.0005,0.0000,0.0009,-0.0008,-0.6516,13178.824,
,,1160,16.10,1.5584,-0.126,0.0,0.0006,0.4472,0.0011,0.8580,05/03/2022 13:19:42,,,,-0.20,0.0000,0.0006,0.0000,0.0011,-0.0009,-0.6808,12369.236,
